gdp_cap,population,life_exp,colors
974.5803384,31.889923,43.828,red
5937.029526,3.600523,76.423,green
6223.367465,33.333216,72.301,blue
4797.231267,12.420476,42.731,blue
12779.37964,40.301927,75.32,yellow
34435.36744,20.434176,81.235,black
36126.4927,8.199783,79.829,green
29796.04834,0.708573,75.635,red
1391.253792,150.448339,64.062,red
33692.60508,10.392226,79.441,green
1441.284873,8.078314,56.728,blue
3822.137084,9.119152,65.554,yellow
7446.298803,4.552198,74.852,green
12569.85177,1.639131,50.728,blue
9065.800825,190.010647,72.39,yellow
10680.79282,7.322858,73.005,green
1217.032994,14.326203,52.295,blue
430.0706916,8.390505,49.58,blue
1713.778686,14.131858,59.723,red
2042.09524,17.696293,50.43,blue
36319.23501,33.390141,80.653,yellow
706.016537,4.369038,44.741,blue
1704.063724,10.238807,50.651,blue
13171.63885,16.284741,78.553,yellow
4959.114854,1318.683096,72.961,red
7006.580419,44.22755,72.889,yellow
986.1478792,0.71096,65.152,blue
277.5518587,64.606759,46.462,blue
3632.557798,3.80061,55.322,blue
9645.06142,4.133884,78.782,yellow
1544.750112,18.013409,48.328,blue
14619.22272,4.493312,75.748,green
8948.102923,11.416987,78.273,yellow
22833.30851,10.228744,76.486,green
35278.41874,5.46812,78.332,green
2082.481567,0.496374,54.791,blue
6025.374752,9.319622,72.235,yellow
6873.262326,13.75568,74.994,yellow
5581.180998,80.264543,71.338,blue
5728.353514,6.939688,71.878,yellow
12154.08975,0.551201,51.579,blue
641.3695236,4.906585,58.04,blue
690.8055759,76.511887,52.947,blue
33207.0844,5.23846,79.313,green
30470.0167,61.083916,80.657,green
13206.48452,1.454867,56.735,blue
752.7497265,1.688359,59.448,blue
32170.37442,82.400996,79.406,green
1327.60891,22.873338,60.022,blue
27538.41188,10.70629,79.483,green
5186.050003,12.572928,70.259,yellow
942.6542111,9.947814,56.007,blue
579.231743,1.472041,46.388,blue
1201.637154,8.502814,60.916,yellow
3548.330846,7.483763,70.198,yellow
39724.97867,6.980412,82.208,red
18008.94444,9.956108,73.338,green
36180.78919,0.301931,81.757,green
2452.210407,1110.396331,64.698,red
3540.651564,223.547,70.65,red
11605.71449,69.45357,70.964,red
4471.061906,27.499638,59.545,red
40675.99635,4.109086,78.885,green
25523.2771,6.426679,80.745,red
28569.7197,58.147733,80.546,green
7320.880262,2.780132,72.567,yellow
31656.06806,127.467972,82.603,red
4519.461171,6.053193,72.535,red
1463.249282,35.610177,54.11,blue
1593.06548,23.301725,67.297,red
23348.13973,49.04479,78.623,red
47306.98978,2.505559,77.588,red
10461.05868,3.921278,71.993,red
1569.331442,2.012649,42.592,blue
414.5073415,3.193942,45.678,blue
12057.49928,6.036914,73.952,blue
1044.770126,19.167654,59.443,blue
759.3499101,13.327079,48.303,blue
12451.6558,24.821286,74.241,red
1042.581557,12.031795,54.467,blue
1803.151496,3.270065,64.164,blue
10956.99112,1.250882,72.801,blue
11977.57496,108.700891,76.195,yellow
3095.772271,2.874127,66.803,red
9253.896111,0.684736,74.543,green
3820.17523,33.757175,71.164,blue
823.6856205,19.951656,42.082,blue
944,47.76198,62.069,red
4811.060429,2.05508,52.906,blue
1091.359778,28.90179,63.785,red
36797.93332,16.570613,79.762,green
25185.00911,4.115771,80.204,black
2749.320965,5.675356,72.899,yellow
619.6768924,12.894865,56.867,blue
2013.977305,135.031164,46.859,blue
49357.19017,4.627926,80.196,green
22316.19287,3.204897,75.64,red
2605.94758,169.270617,65.483,red
9809.185636,3.242173,75.537,yellow
4172.838464,6.667147,71.752,yellow
7408.905561,28.674757,71.421,yellow
3190.481016,91.077287,71.688,red
15389.92468,38.518241,75.563,green
20509.64777,10.642836,78.098,green
19328.70901,3.942491,78.746,yellow
7670.122558,0.798094,76.442,blue
10808.47561,22.276056,72.476,green
863.0884639,8.860588,46.242,blue
1598.435089,0.199579,65.528,blue
21654.83194,27.601038,72.777,red
1712.472136,12.267493,63.062,blue
9786.534714,10.150265,74.002,green
862.5407561,6.144562,42.568,blue
47143.17964,4.553009,79.972,red
18678.31435,5.447502,74.663,green
25768.25759,2.009245,77.926,green
926.1410683,9.118773,48.159,blue
9269.657808,43.997828,49.339,blue
28821.0637,40.448191,80.941,green
3970.095407,20.378239,72.396,red
2602.394995,42.292929,58.556,blue
4513.480643,1.133066,39.613,blue
33859.74835,9.031088,80.884,green
37506.41907,7.554661,81.701,green
4184.548089,19.314747,74.143,red
28718.27684,23.174294,78.4,red
1107.482182,38.13964,52.517,blue
7458.396327,65.068149,70.616,red
882.9699438,5.701579,58.42,blue
18008.50924,1.056608,69.819,yellow
7092.923025,10.276158,73.923,blue
8458.276384,71.158647,71.777,green
1056.380121,29.170398,51.542,blue
33203.26128,60.776238,79.425,green
42951.65309,301.139947,78.242,yellow
10611.46299,3.447496,76.384,yellow
11415.80569,26.084662,73.747,yellow
2441.576404,85.262356,74.249,red
3025.349798,4.018332,73.422,red
2280.769906,22.211743,62.698,red
1271.211593,11.746035,42.384,blue
469.7092981,12.311143,43.487,blue
